,Id,modularity_class
1055,2328,6
1056,3561,6
1057,9236,1
1058,5963,3
1059,5983,6
1060,1306,6
1061,1342,1
1062,207,6
1063,2953,6
1064,6326,1
1065,6987,6
1066,246,6
1067,1343,6
1068,3348,1
1069,209,6
1070,4618,2
1071,5579,6
1072,4375,6
1073,4398,0
1074,2284,3
1075,4526,3
1076,1419,6
1077,2271,6
1078,5642,6
1079,2269,6
1080,5656,2
1081,943,2
1082,5658,2
1083,5053,2
1084,5761,0
1085,2493,0
1086,1375,6
1087,536,2
1088,1107,2
1089,1074,2
1090,521,0
1091,1542,2
1092,3390,1
1093,922,2
1094,2684,0
1095,1549,0
1096,3639,6
1097,1787,6
1098,2467,2
1099,2216,0
1100,369,2
1101,4340,2
1102,2347,2
1103,7443,6
1104,1883,6
1105,2274,0
1106,1392,0
1107,478,6
1108,3408,1
1109,1546,0
1110,597,1
1111,4026,1
1112,2386,0
1113,487,0
1114,642,1
1115,1336,6
1116,5690,3
1117,2279,6
1118,2656,6
1119,1080,6
1120,7772,0
1121,3153,1
1122,933,1
1123,1339,6
1124,314,6
1125,5615,0
1126,2170,0
1127,3504,0
1128,3804,2
1129,4241,2
1130,3023,2
1131,6583,6
1132,2587,1
1133,1133,6
1134,4514,0
1135,4071,1
1136,2232,1
1137,432,1
1138,522,0
1139,3127,0
1140,4305,0
1141,751,0
1142,326,2
1143,360,2
1144,1052,3
1145,3253,6
1146,283,1
1147,9399,6
1148,639,6
1149,5426,0
1150,3073,2
1151,6191,2
1152,4630,0
1153,8607,0
1154,3931,0
1155,3497,0
1156,5234,0
1157,3501,0
1158,7354,0
1159,7786,1
1160,2611,1
1161,2911,1
1162,4684,6
1163,2195,0
1164,8308,0
1165,2381,0
1166,4571,6
1167,2262,6
1168,1784,6
1169,312,6
1170,1962,6
1171,3671,1
1172,786,3
1173,11613,7
1174,1512,7
1175,1301,7
1176,1455,6
1177,1923,0
1178,733,1
1179,1229,1
1180,1805,1
1181,5567,2
1182,2470,2
1183,6505,0
1184,2078,1
1185,799,2
1186,5128,3
1187,2998,3
1188,187,3
1189,181,2
1190,8083,6
1191,685,2
1192,6334,1
1193,793,3
1194,1543,2
1195,1500,0
1196,6206,6
1197,5661,2
1198,7261,0
1199,3496,0
1200,3499,0
1201,7399,6
1202,2367,2
1203,2368,2
1204,2369,2
1205,1029,1
1206,2454,6
1207,5606,6
1208,4084,2
1209,3861,0
1210,1625,4
1211,4266,0
1212,3226,0
1213,5873,6
1214,1433,6
1215,11619,6
1216,6293,6
1217,3579,6
1218,939,1
1219,1368,8
1220,2131,6
1221,2104,0
1222,340,0
1223,2421,1
1224,6125,2
1225,4344,3
1226,61,0
1227,802,7
1228,193,8
1229,689,8
1230,191,8
1231,199,8
1232,1703,2
1233,1297,7
1234,1513,7
1235,569,6
1236,1305,6
1237,3491,1
1238,1202,1
1239,5490,2
1240,25,6
1241,4508,1
1242,6265,0
1243,1299,7
1244,3577,0
1245,2420,2
1246,3311,0
1247,1494,0
1248,5435,6
1249,7838,1
1250,3583,7
1251,6863,7
1252,3867,7
1253,1189,0
1254,2731,7
1255,1460,1
1256,2979,7
1257,5721,2
1258,1550,0
1259,602,6
1260,2434,6
1261,5046,2
1262,1344,6
1263,3599,2
1264,3209,2
1265,7314,0
1266,5026,1
1267,769,2
1268,4227,0
1269,772,2
1270,6268,2
1271,816,2
1272,1886,2
1273,2455,4
1274,4286,2
1275,1735,0
1276,2629,3
1277,914,0
1278,605,5
1279,2176,3
1280,4430,0
1281,4956,1
1282,2422,1
1283,2423,1
1284,5890,6
1285,1256,1
1286,2811,0
1287,2209,0
1288,3632,1
1289,433,6
1290,5132,6
1291,8,6
1292,284,1
1293,4341,2
1294,10668,7
1295,3545,1
1296,4063,6
1297,4317,2
1298,1366,1
1299,1783,1
1300,2251,1
1301,697,6
1302,1973,4
1303,641,6
1304,918,0
1305,425,1
1306,5144,3
1307,3069,6
1308,1051,3
1309,1056,3
1310,3593,4
1311,4094,0
1312,2041,6
1313,7190,6
1314,1391,6
1315,1411,2
1316,3873,0
1317,1072,0
1318,7851,0
1319,2384,0
1320,11565,3
1321,634,3
1322,3166,6
1323,4556,2
1324,3589,0
1325,8341,6
1326,196,8
1327,198,8
1328,3850,8
1329,722,2
1330,293,6
1331,9349,6
1332,9068,1
1333,4679,6
1334,1451,1
1335,2103,0
1336,1332,6
1337,879,0
1338,3033,0
1339,1935,0
1340,1934,0
1341,1936,0
1342,5346,2
1343,6882,6
1344,3447,2
1345,4083,2
1346,4221,2
1347,2645,6
1348,4019,0
1349,4021,0
1350,4020,0
1351,4022,0
1352,3258,1
1353,3698,2
1354,5409,2
1355,801,6
1356,16329,0
1357,992,5
1358,3600,2
1359,3643,0
1360,9793,1
1361,2563,1
1362,1009,6
1363,1362,1
1364,8037,1
1365,4042,1
1366,2156,3
1367,7272,0
1368,3956,0
1369,1806,0
1370,4096,0
1371,5083,6
1372,4154,6
1373,8606,6
1374,9020,0
1375,2884,7
1376,1810,6
1377,2382,0
1378,2350,0
1379,1400,0
1380,2049,2
1381,5504,1
1382,3433,1
1383,5203,1
1384,1657,6
1385,825,6
1386,7347,4
1387,1620,0
1388,2243,6
1389,4772,1
1390,5271,0
1391,211,6
1392,3700,0
1393,2329,1
1394,3011,0
1395,2409,6
1396,2935,2
1397,1545,0
1398,1753,0
1399,3384,1
1400,6310,1
1401,2014,1
1402,2698,1
1403,4555,2
1404,301,7
1405,4852,2
1406,3763,2
1407,2050,2
1408,4047,0
1409,4046,0
1410,4050,0
1411,4484,6
1412,44,1
1413,2480,6
1414,1916,2
1415,721,2
1416,2137,3
1417,683,2
1418,2538,0
1419,2925,0
1420,3207,6
1421,253,6
1422,9130,1
1423,956,3
1424,7533,2
1425,4437,3
1426,4230,4
1427,3824,6
1428,210,6
1429,3527,0
1430,11476,2
1431,3628,2
1432,5475,2
1433,3652,0
1434,8303,0
1435,4884,6
1436,5245,2
1437,9093,0
1438,1607,6
1439,2058,6
1440,3843,4
1441,2316,3
1442,8023,6
1443,3949,6
1444,8957,4
1445,4205,1
1446,2354,2
1447,1749,6
1448,4308,6
1449,7500,6
1450,5109,6
1451,4825,6
1452,1496,2
1453,3277,0
1454,3810,0
1455,7132,1
1456,1912,6
1457,149,6
1458,9339,6
1459,6707,2
1460,5489,1
1461,1541,1
1462,133,1
1463,1004,1
1464,7920,0
1465,1653,0
1466,2006,6
1467,1702,2
1468,2909,6
1469,1908,0
1470,6612,2
1471,2040,2
1472,128,2
1473,2973,1
1474,2468,0
1475,3222,6
1476,3716,6
1477,368,0
1478,2708,4
1479,5186,6
1480,2812,0
1481,1432,6
1482,2650,0
1483,2649,0
1484,4529,6
1485,2291,1
1486,404,3
1487,3912,6
1488,6787,5
1489,1976,1
1490,1754,6
1491,1616,1
1492,5241,6
1493,10792,6
1494,2944,0
1495,4817,0
1496,4057,0
1497,9087,6
1498,2765,6
1499,1444,0
1500,2107,0
1501,5478,1
1502,2215,0
1503,5962,6
1504,5694,6
1505,2990,6
1506,4093,2
1507,727,2
1508,2755,2
1509,6284,0
1510,3691,2
1511,436,2
1512,9804,2
1513,927,2
1514,750,0
1515,951,3
1516,2233,1
1517,5537,6
1518,1086,4
1519,103,2
1520,2029,6
1521,563,6
1522,7092,6
1523,92,6
1524,10901,2
1525,1712,2
1526,1585,3
1527,2961,0
1528,6154,6
1529,8776,4
1530,1961,6
1531,4153,6
1532,7311,1
1533,141,6
1534,8531,3
1535,7324,2
1536,989,2
1537,8503,2
1538,2439,6
1539,8377,6
1540,659,1
1541,2741,1
1542,2463,0
1543,1892,0
1544,5017,0
1545,3765,0
1546,4388,0
1547,6668,0
1548,5259,6
1549,434,6
1550,1425,6
1551,3254,6
1552,11045,0
1553,5910,6
1554,1937,4
1555,6900,4
1556,1230,4
1557,6317,3
1558,2266,6
1559,1067,2
1560,3264,0
1561,1199,2
1562,4140,6
1563,3493,6
1564,777,0
1565,393,6
1566,4872,6
1567,3330,6
1568,4260,6
1569,4816,1
1570,1812,1
1571,4348,6
1572,3711,6
1573,1001,6
1574,668,1
1575,5657,2
1576,367,6
1577,578,1
1578,243,0
1579,2281,2
1580,1370,2
1581,3194,6
1582,5104,3
1583,3751,0
1584,2175,0
1585,8532,6
1586,13873,0
1587,150,1
1588,710,2
1589,4647,6
1590,16,0
1591,4335,0
1592,2045,0
1593,3941,6
1594,91,0
1595,2207,0
1596,2252,1
1597,1668,6
1598,5194,6
1599,2227,6
1600,1360,1
1601,3889,1
1602,11492,2
1603,1456,6
1604,2129,3
1605,1840,6
1606,1700,2
1607,3020,0
1608,3163,0
1609,6990,6
1610,6874,1
1611,3183,6
1612,4350,6
1613,6389,6
1614,1726,0
1615,1105,1
1616,1584,2
1617,2586,2
1618,4732,6
1619,3695,0
1620,2762,2
1621,9908,2
1622,8219,4
1623,5332,6
1624,2217,0
1625,1382,6
1626,885,6
1627,4476,2
1628,49,4
1629,1902,6
1630,1103,4
1631,4295,0
1632,9757,0
1633,1206,6
1634,5692,3
1635,279,6
1636,6672,1
1637,3120,2
1638,2986,2
1639,2985,2
1640,3123,2
1641,3265,4
1642,5051,0
1643,335,6
1644,2500,2
1645,5716,2
1646,4409,1
1647,3003,0
1648,17552,0
1649,8605,6
1650,4896,4
1651,297,6
1652,4621,7
1653,3926,2
1654,134,0
1655,1720,6
1656,5054,3
1657,4169,0
1658,6511,0
1659,6089,0
1660,3240,6
1661,5653,0
1662,1583,2
1663,1642,2
1664,4132,2
1665,4135,2
1666,3672,2
1667,5073,2
1668,4947,0
1669,3305,6
1670,1274,5
1671,2705,1
1672,3316,0
1673,4052,2
1674,12306,6
1675,3145,1
1676,3925,2
1677,3737,2
1678,2282,4
1679,551,2
1680,6490,0
1681,2355,2
1682,1639,2
1683,2592,3
1684,5866,0
1685,880,0
1686,2779,2
1687,3087,6
1688,4106,6
1689,3701,1
1690,3983,1
1691,1709,6
1692,4865,6
1693,4133,2
1694,915,1
1695,4127,2
1696,7117,6
1697,5500,4
1698,2413,4
1699,3864,0
1700,700,6
1701,7203,2
1702,1598,5
1703,7692,2
1704,30,6
1705,3853,1
1706,4066,0
1707,4182,1
1708,2954,6
1709,3963,0
1710,4858,6
1711,4860,6
1712,4619,0
1713,2612,1
1714,3683,0
1715,937,6
1716,3284,1
1717,9202,1
1718,2890,6
1719,9054,6
1720,4053,3
1721,7371,0
1722,6312,1
1723,3282,1
1724,7231,6
1725,1591,0
1726,1597,7
1727,7330,6
1728,2363,6
1729,2093,6
1730,5174,6
1731,3070,0
1732,3107,6
1733,1640,1
1734,3171,2
1735,10072,6
1736,10540,2
1737,1478,1
1738,24,6
1739,884,3
1740,95,6
1741,7736,0
1742,5790,1
1743,612,6
1744,1559,0
1745,1771,1
1746,6134,6
1747,7074,6
1748,1097,1
1749,2546,3
1750,6384,1
1751,3512,6
1752,6132,1
1753,2912,2
1754,2398,0
1755,2658,3
1756,426,6
1757,363,6
1758,1292,2
1759,3635,1
1760,4867,6
1761,371,0
1762,1124,0
1763,3506,0
1764,3769,6
1765,1212,4
1766,636,6
1767,7503,1
1768,354,1
1769,2193,1
1770,227,2
1771,5011,2
1772,10001,0
1773,6750,4
1774,2971,6
1775,82,0
1776,11013,6
1777,3645,0
1778,2079,6
1779,7837,6
1780,1475,2
1781,2214,0
1782,671,1
1783,3685,0
1784,2568,7
1785,305,1
1786,8198,6
1787,2061,0
1788,4823,0
1789,1282,2
1790,1164,1
1791,6643,6
1792,1383,2
1793,9558,2
1794,4856,4
1795,5823,1
1796,1666,0
1797,945,6
1798,5492,6
1799,136,2
1800,3851,1
1801,3817,1
1802,65,0
1803,280,1
1804,9368,0
1805,792,3
1806,1884,2
1807,4720,6
1808,2120,2
1809,1006,6
1810,1381,6
1811,4815,1
1812,2202,2
1813,6773,0
1814,3604,2
1815,4665,0
1816,3310,1
1817,3601,2
1818,4757,0
1819,2530,1
1820,2183,0
1821,4540,3
1822,829,6
1823,2164,2
1824,2834,0
1825,2849,0
1826,2471,3
1827,3479,6
1828,1471,6
1829,1262,6
1830,3148,6
1831,773,2
1832,323,3
1833,4599,6
1834,2260,0
1835,3955,6
1836,1364,1
1837,1921,2
1838,4386,2
1839,4812,4
1840,539,6
1841,4352,2
1842,5725,2
1843,9611,0
1844,1283,2
1845,1014,6
1846,10430,1
1847,831,6
1848,5747,0
1849,11244,0
1850,1472,0
1851,3808,2
1852,3715,6
1853,308,1
1854,453,0
1855,2756,2
1856,1231,1
1857,8301,0
1858,1681,0
1859,893,0
1860,316,3
1861,1662,6
1862,8317,2
1863,4692,6
1864,3730,6
1865,978,6
1866,6935,6
1867,9960,6
1868,2907,0
1869,3232,1
1870,8305,0
1871,205,2
1872,2640,1
1873,5310,2
1874,11423,0
1875,2505,0
1876,5043,0
1877,5495,0
1878,7420,6
1879,40,0
1880,3440,0
1881,1873,6
1882,2417,6
1883,3681,2
1884,2009,1
1885,5594,1
1886,12889,1
1887,204,4
1888,7154,3
1889,4605,0
1890,4707,1
1891,3755,3
1892,4644,0
1893,2095,6
1894,1965,1
1895,7255,4
1896,6263,0
1897,2136,2
1898,4574,6
1899,2671,6
1900,2561,1
1901,7621,0
1902,8511,2
1903,2643,1
1904,176,6
1905,4288,0
1906,2449,6
1907,3761,2
1908,903,2
1909,717,6
1910,6108,6
1911,1875,1
1912,11268,2
1913,3940,6
1914,7296,0
1915,1254,0
1916,9479,2
1917,8537,2
1918,1244,6
1919,5082,6
1920,5084,6
1921,6365,6
1922,6151,0
1923,3442,0
1924,1089,4
1925,5499,4
1926,3111,6
1927,11144,4
1928,16130,6
1929,2043,0
1930,728,2
1931,4200,2
1932,7710,2
1933,4407,3
1934,5473,3
1935,4408,3
1936,8124,1
1937,4411,3
1938,6241,0
1939,6825,0
1940,11593,6
1941,5472,3
1942,3759,2
1943,6314,3
1944,2541,1
1945,3122,2
1946,7877,0
1947,5379,6
1948,3661,1
1949,4412,6
1950,4175,6
1951,8128,2
1952,4522,2
1953,2072,6
1954,4253,6
1955,5135,6
1956,5999,0
1957,7557,1
1958,1859,6
1959,2970,6
1960,2545,3
1961,1760,7
1962,1447,0
1963,1449,0
1964,4776,1
1965,8755,6
1966,4478,2
1967,5851,0
1968,7681,1
1969,3172,0
1970,928,1
1971,1801,1
1972,4628,6
1973,4531,3
1974,1529,4
1975,13302,0
1976,9807,2
1977,6642,6
1978,3748,0
1979,1885,2
1980,3630,2
1981,1764,6
1982,540,2
1983,317,3
1984,6889,0
1985,4406,3
1986,3174,0
1987,11592,6
1988,3462,0
1989,662,6
1990,5115,6
1991,2635,3
1992,2165,2
1993,3315,0
1994,2258,0
1995,3556,0
1996,2474,4
1997,15333,2
1998,5092,6
1999,4251,6
